CVE ID,First Seen,Days in Limbo,Registry Status,Source Count,Primary Source,Evidence URL
CVE-2025-64152,2026-03-09,2,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/284
CVE-2025-55017,2026-03-09,2,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/283
CVE-2026-3633,2026-03-06,4,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-3634,2026-03-06,4,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-3632,2026-03-06,4,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2092,2026-03-06,5,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-2603,2026-03-06,5,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-3555,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-153/
CVE-2026-3556,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-154/
CVE-2026-3557,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-155/
CVE-2026-3558,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-156/
CVE-2026-3559,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-157/
CVE-2026-3560,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-158/
CVE-2026-3561,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-159/
CVE-2026-3562,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-160/
CVE-2026-2923,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-161/
CVE-2026-3081,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-162/
CVE-2026-3082,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-163/
CVE-2026-2920,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-164/
CVE-2026-2922,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-165/
CVE-2026-3083,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-166/
CVE-2026-3085,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-167/
CVE-2026-2921,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-168/
CVE-2026-3084,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-169/
CVE-2026-3086,2026-03-06,5,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-170/
CVE-2026-3234,2026-03-05,5,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-2376,2026-03-04,7,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-3195,2026-03-03,8,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-3196,2026-03-03,8,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-3429,2026-03-03,8,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-3442,2026-03-03,8,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-3441,2026-03-03,8,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-3184,2026-02-25,13,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-3190,2026-02-25,13,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-3121,2026-02-25,14,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2025-15060,2026-02-25,14,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-124/
CVE-2026-2491,2026-02-25,14,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-129/
CVE-2026-2493,2026-02-25,14,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-130/
CVE-2026-3099,2026-02-24,14,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2708,2026-02-20,19,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2625,2026-02-18,21,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2470,2026-02-17,21,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/168
CVE-2026-2604,2026-02-17,22,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2050,2026-02-17,22,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2049,2026-02-17,22,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-69691,2026-02-16,22,NOT_FOUND,1,Full Disclosure,https://seclists.org/fulldisclosure/2026/Feb/16
CVE-2025-69690,2026-02-16,22,NOT_FOUND,1,Full Disclosure,https://seclists.org/fulldisclosure/2026/Feb/16
CVE-2026-2574,2026-02-16,22,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2575,2026-02-16,22,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-2366,2026-02-12,27,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-2369,2026-02-12,27,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0964,2026-02-11,28,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0966,2026-02-11,28,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-14821,2026-02-11,28,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0968,2026-02-11,28,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0967,2026-02-11,28,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-0965,2026-02-11,28,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2272,2026-02-11,28,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2271,2026-02-11,28,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1609,2026-02-10,29,NOT_FOUND,1,Red Hat Security Data,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-1584,2026-02-10,29,NOT_FOUND,1,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2239,2026-02-09,29,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-2100,2026-02-07,32,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-65852,2026-02-07,32,NOT_FOUND,1,GitHub Security Advisories,https://github.com/advisories/GHSA-rjv5-9px2-fqw6
CVE-2025-12805,2026-02-04,35,NOT_FOUND,1,Red Hat Security Advisories,https://access.redhat.com/hydra/rest/securitydata/cve.json
CVE-2026-1767,2026-02-03,36,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1766,2026-02-03,36,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1765,2026-02-03,36,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2026-1764,2026-02-03,36,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
CVE-2025-63374,2026-02-03,36,NOT_FOUND,1,ZDI Advisories,http://www.zerodayinitiative.com/advisories/ZDI-26-059/
CVE-2025-58151,2026-01-27,42,NOT_FOUND,1,OSS Security,https://seclists.org/oss-sec/2026/q1/118
CVE-2026-1220,2026-01-20,49,NOT_FOUND,2,Debian Security Tracker,https://security-tracker.debian.org/tracker/data/json
